indexNumber,indexName,genusNumber,genusName,X,Y,pointOrder
2,Buccinum_1_11_137_456,11,Buccinum,0.907752049,-0.259242871,38
2,Buccinum_1_11_137_456,11,Buccinum,0.875573394,-0.231774785,39
2,Buccinum_1_11_137_456,11,Buccinum,0.849770644,-0.184463869,40
2,Buccinum_1_11_137_456,11,Buccinum,0.832328772,-0.158016836,41
2,Buccinum_1_11_137_456,11,Buccinum,0.803480982,-0.111967223,42
2,Buccinum_1_11_137_456,11,Buccinum,0.762469671,-0.070955904,43
2,Buccinum_1_11_137_456,11,Buccinum,0.721458352,-0.029944585,44
2,Buccinum_1_11_137_456,11,Buccinum,0.693993289,0.006880734,45
2,Buccinum_1_11_137_456,11,Buccinum,0.677402,0.014111759,46
2,Buccinum_1_11_137_456,11,Buccinum,0.639953306,0.05156046,47
2,Buccinum_1_11_137_456,11,Buccinum,0.611105524,0.097610081,48
2,Buccinum_1_11_137_456,11,Buccinum,0.570094205,0.138621392,49
2,Buccinum_1_11_137_456,11,Buccinum,0.535164654,0.182151862,50
2,Buccinum_1_11_137_456,11,Buccinum,0.495196801,0.213518796,51
2,Buccinum_1_11_137_456,11,Buccinum,0.45349659,0.252866973,52
2,Buccinum_1_11_137_456,11,Buccinum,0.454128446,0.293216479,53
2,Buccinum_1_11_137_456,11,Buccinum,0.454128446,0.344090004,54
2,Buccinum_1_11_137_456,11,Buccinum,0.454128446,0.402088763,55
2,Buccinum_1_11_137_456,11,Buccinum,0.462729358,0.456524913,56
2,Buccinum_1_11_137_456,11,Buccinum,0.471330277,0.510961056,57
2,Buccinum_1_11_137_456,11,Buccinum,0.458523333,0.560014155,58
2,Buccinum_1_11_137_456,11,Buccinum,0.4380876,0.606063775,59
2,Buccinum_1_11_137_456,11,Buccinum,0.421403354,0.657151691,60
2,Buccinum_1_11_137_456,11,Buccinum,0.382676127,0.691513759,61
2,Buccinum_1_11_137_456,11,Buccinum,0.350068568,0.728486477,62
2,Buccinum_1_11_137_456,11,Buccinum,0.312619866,0.765935178,63
2,Buccinum_1_11_137_456,11,Buccinum,0.272652021,0.797302112,64
2,Buccinum_1_11_137_456,11,Buccinum,0.221564099,0.813986358,65
2,Buccinum_1_11_137_456,11,Buccinum,0.213302756,0.856399624,66
2,Buccinum_1_11_137_456,11,Buccinum,0.213302756,0.914398384,67
2,Buccinum_1_11_137_456,11,Buccinum,0.18619404,0.961168351,68
2,Buccinum_1_11_137_456,11,Buccinum,0.161697248,1.003981905,69
2,Buccinum_1_11_137_456,11,Buccinum,0.132061092,1.049704967,70
2,Buccinum_1_11_137_456,11,Buccinum,0.091049773,1.090716286,71
2,Buccinum_1_11_137_456,11,Buccinum,0.042481001,1.113482301,72
2,Buccinum_1_11_137_456,11,Buccinum,0.049080354,1.167089367,73
2,Buccinum_1_11_137_456,11,Buccinum,0.024082572,1.214733711,74
2,Buccinum_1_11_137_456,11,Buccinum,-0.014696979,1.256669458,75
2,Buccinum_1_11_137_456,11,Buccinum,-0.044724766,1.297191998,76
2,Buccinum_1_11_137_456,11,Buccinum,-0.062748159,1.347725225,77
2,Buccinum_1_11_137_456,11,Buccinum,-0.096330273,1.391813821,78
2,Buccinum_1_11_137_456,11,Buccinum,-0.120443724,1.439824459,79
2,Buccinum_1_11_137_456,11,Buccinum,-0.143209738,1.488393231,80
2,Buccinum_1_11_137_456,11,Buccinum,-0.196400819,1.5,81
2,Buccinum_1_11_137_456,11,Buccinum,-0.245385576,1.478238277,82
2,Buccinum_1_11_137_456,11,Buccinum,-0.264908255,1.428326068,83
2,Buccinum_1_11_137_456,11,Buccinum,-0.290917612,1.381100741,84
2,Buccinum_1_11_137_456,11,Buccinum,-0.307912843,1.330141634,85
2,Buccinum_1_11_137_456,11,Buccinum,-0.336449641,1.283963205,86
2,Buccinum_1_11_137_456,11,Buccinum,-0.350917432,1.231957194,87
2,Buccinum_1_11_137_456,11,Buccinum,-0.375899901,1.196427432,88
2,Buccinum_1_11_137_456,11,Buccinum,-0.396146772,1.164059647,89
2,Buccinum_1_11_137_456,11,Buccinum,-0.418912787,1.115490882,90
2,Buccinum_1_11_137_456,11,Buccinum,-0.4369266,1.064953687,91
2,Buccinum_1_11_137_456,11,Buccinum,-0.458363055,1.015834195,92
2,Buccinum_1_11_137_456,11,Buccinum,-0.493292598,0.972303726,93
2,Buccinum_1_11_137_456,11,Buccinum,-0.534737616,0.93233945,94
2,Buccinum_1_11_137_456,11,Buccinum,-0.573447613,0.897935781,95
2,Buccinum_1_11_137_456,11,Buccinum,-0.603119552,0.85387586,96
2,Buccinum_1_11_137_456,11,Buccinum,-0.634747703,0.808977906,97
2,Buccinum_1_11_137_456,11,Buccinum,-0.651949541,0.758104381,98
2,Buccinum_1_11_137_456,11,Buccinum,-0.660550453,0.703668238,99
2,Buccinum_1_11_137_456,11,Buccinum,-0.660550453,0.645669479,100
2,Buccinum_1_11_137_456,11,Buccinum,-0.651949541,0.591233329,101
2,Buccinum_1_11_137_456,11,Buccinum,-0.676378828,0.548391812,102
2,Buccinum_1_11_137_456,11,Buccinum,-0.70522661,0.502342199,103
2,Buccinum_1_11_137_456,11,Buccinum,-0.74875708,0.467412648,104
2,Buccinum_1_11_137_456,11,Buccinum,-0.783686623,0.423882179,105
2,Buccinum_1_11_137_456,11,Buccinum,-0.815053557,0.383914326,106
2,Buccinum_1_11_137_456,11,Buccinum,-0.84642049,0.343946481,107
2,Buccinum_1_11_137_456,11,Buccinum,-0.875573394,0.298023244,108
2,Buccinum_1_11_137_456,11,Buccinum,-0.891952526,0.258925001,109
2,Buccinum_1_11_137_456,11,Buccinum,-0.918577982,0.217040641,110
2,Buccinum_1_11_137_456,11,Buccinum,-0.927178894,0.162604499,111
2,Buccinum_1_11_137_456,11,Buccinum,-0.945712725,0.118304468,112
2,Buccinum_1_11_137_456,11,Buccinum,-0.944380732,0.067982675,113
2,Buccinum_1_11_137_456,11,Buccinum,-0.952981651,0.013546533,114
